id,symbol,name,current_price,market_cap,total_volume,market_cap_change_percentage_24h,ath,atl
bitcoin,BTC,Bitcoin,36992.0,723000000000.0,18919366592.0,1.20163,69045.0,67.81
wrapped-bitcoin,WBTC,Wrapped Bitcoin,36968.0,6056265750.0,224887752.0,1.15006,70643.0,3139.17
ethereum,ETH,Ethereum,2064.27,248000000000.0,20472831052.0,-1.58016,4878.26,0.432979
tether,USDT,Tether,1.001,86747659865.0,43215238174.0,0.21871,1.32,0.572521
ripple,XRP,XRP,0.672149,36048400478.0,1786465154.0,2.232,3.4,0.00268621
solana,SOL,Solana,55.03,23222334328.0,3819783045.0,11.56976,259.96,0.500801
cardano,ADA,Cardano,0.38212,13363109206.0,521201408.0,1.5919,3.09,0.01925275
dogecoin,DOGE,Dogecoin,0.078,11409239253.0,1515492821.0,8.14457,0.731578,8.69e-05
tron,TRX,TRON,0.106177,9416294357.0,810257489.0,6.07005,0.231673,0.00180434
chainlink,LINK,Chainlink,15.05,8392335881.0,1183444412.0,3.02316,52.7,0.148183
usd-coin,USDC,USDC,1.0,24178499584.0,10254673648.0,0.43973,1.17,0.877647
matic-network,MATIC,Polygon,0.817672,7563804860.0,569911566.0,-1.96209,2.92,0.00314376
binancecoin,BNB,BNB,249.73,38434529967.0,768374940.0,-1.36109,686.31,0.0398177
polkadot,DOT,Polkadot,5.31,6884609992.0,343571913.0,3.81525,54.98,2.7
shiba-inu,SHIB,Shiba Inu,9.42e-06,5579214352.0,533207433.0,13.25667,8.62e-05,0.0
litecoin,LTC,Litecoin,73.4,5425379980.0,558131612.0,0.55766,410.26,1.15
dai,DAI,Dai,0.99962,5322634850.0,202499018.0,-0.1144,1.22,0.88196
staked-ether,STETH,Lido Staked Ether,2059.32,18458722126.0,22758979.0,-1.88549,4829.57,482.9
the-open-network,TON,Toncoin,2.44,5210282457.0,60891994.0,-3.77284,5.29,0.519364
avalanche-2,AVAX,Avalanche,14.2,5048948744.0,665798599.0,6.49563,144.96,2.8
bitcoin-cash,BCH,Bitcoin Cash,237.11,4637899484.0,172561843.0,-1.05042,3785.82,76.93
uniswap,UNI,Uniswap,5.41,4073380044.0,194689793.0,2.72568,44.92,1.03
leo-token,LEO,LEO Token,4.1,3803980694.0,1262893.0,0.95044,8.14,0.799859
okb,OKB,OKB,61.1,3668901786.0,26120643.0,1.18156,63.62,0.580608
stellar,XLM,Stellar,0.125177,3503219994.0,124453700.0,2.12534,0.875563,0.00047612
true-usd,TUSD,TrueUSD,0.998125,3333566870.0,224533313.0,-0.32673,1.62,0.88355
monero,XMR,Monero,170.94,3099374960.0,108502532.0,-0.12893,542.33,0.216177
ethereum-classic,ETC,Ethereum Classic,20.02,2871568798.0,265374241.0,-4.53308,167.09,0.615038
crypto-com-chain,CRO,Cronos,0.10502,2765932406.0,111830561.0,23.87843,0.965407,0.0121196
cosmos,ATOM,Cosmos Hub,9.13,2663120959.0,211108705.0,-1.27243,44.45,1.16
filecoin,FIL,Filecoin,4.61,2159770250.0,194313113.0,2.77382,236.84,2.64
